,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
620,Galileo FOC FM4 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,97.0,23353,23382,0.000488,55.1,850.5,723.0,,,2015-03-27,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545,,2015,3,27,(0204 Galileo 8 PRN E22),1.6929693744344996,29753,29724,59477,29738.5,29,59476.99293003976,29738.49646501988,0.00012310913404858784,51037.52337905149,51030.0,13751.777132688872,141.77089827514303,13751.777132688874,1.6929693744344996,14.5,1.6934537081520897,1.6939380273736557,0.0004843336805795905,23369.27559143602,-28841.14757334873,-7250.281125947152,3.3878760547473115,0.0
621,Galileo FOC FM5 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,225.0,23218,23240,0.00037200000000000004,57.1,845.0,723.0,,,2015-09-11,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-045A,40889,,2015,9,11,(0205 Galileo 9 PRN E24),3.9269908169872414,29611,29589,59200,29600.0,22,59199.99591216202,29599.99795608101,0.00012397419543674204,50681.3961167071,50700.0,31675.872572941942,140.78165587974195,31675.87257294194,3.926990816987241,11.0,3.926727842438444,2.356720404696981,0.0002629745518361334,23236.78814146436,31.134132933607628,-29599.98158218853,4.713440809393962,0.0
622,Galileo FOC FM6 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,24.0,23220,23239,0.000321,57.1,844.0,723.0,,,2015-09-11,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-045B,40890,,2015,9,11,(0206 Galileo 10 PRN E30),0.4188790204786391,29610,29591,59201,29600.5,19,59200.99695106494,29600.49847553247,0.0001239710542650075,50682.68027912625,50640.0,3378.8453519417503,140.78522299757293,3378.8453519417503,0.4188790204786391,9.5,0.41900962123949037,0.4191402411533137,0.00013060076572375432,23220.820214664254,19795.10542914015,22007.802057690587,0.8382804823066274,0.0
623,Galileo FOC FM7 ,NR (12/16),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,33.0,23265,23305,0.000674,54.6,847.0,723.0,,,2016-11-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Ariane 5,2016-069A,41859,,2016,11,17,(0207 Galileo 15),0.5759586531581288,29676,29636,59312,29656.0,40,59311.98651200278,29655.99325600139,0.00012362320694510654,50825.28970446109,50820.0,4658.9848895755995,141.1813602901697,4658.9848895755995,0.5759586531581287,20.0,0.5763259474859761,0.5766933456403447,0.000367294369991679,23268.24053153485,12022.360149294751,27109.792662031196,1.1533866912806894,0.0
624,Galileo FOC FM8 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,108.0,23550,23618,0.00114,54.96,860.51,723.0,,,2015-12-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-079B,41175,,2015,12,17,(0208 Galileo 11 PRN E08),1.8849555921538759,29989,29921,59910,29955.0,68,59909.961408767405,29954.980704383703,0.00012177689016127692,51595.875858369865,51630.6,15478.76275751096,143.32187738436073,15478.762757510958,1.8849555921538759,34.0,2.071879018219999,2.072878596557577,0.0009998521111103868,23600.404195713505,-16079.643046645493,-25273.430348697046,4.145757193115154,0.0
625,Galileo FOC FM9 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,103.0,23551,23568,0.00028399999999999996,54.95,858.34,723.0,,,2015-12-17,12.0,OHB-System GmbH SSTL ,Germany/UK,Guiana Space Center,Soyuz-ST,2015-079A,41174,,2015,12,17,(0209 Galileo 12 E09),1.7976891295541595,29939,29922,59861,29930.5,17,59860.99758607436,29930.49879303718,0.00012192644384121612,51532.58890550544,51500.4,14744.04627018628,143.14608029307067,14744.046270186278,1.7976891295541593,8.5,1.7979658329750559,1.7982425275401122,0.00027670341440040955,23561.41443459451,-26886.8168266214,-13150.433347780234,3.5964850550802243,0.0
626,Galileo IOV-1 FM2 ,NR,ESA,European Space Agency,Commerical,Navigation/Global Positioning,,MEO,Non-Polar Inclined,8.0,23242,23307,0.0011,54.67,846.98,700.0,,1420.0,2011-10-21,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847,Operational nucleus of the full 30-satellite constellation.,2011,10,21,(0102 PRN E12),0.13962634015954636,29678,29613,59291,29645.5,65,59290.96437063577,29645.482185317884,0.0001236888910423456,50798.299299397084,50818.8,1128.8510955421575,141.1063869427697,1128.8510955421575,0.13962634015954636,32.5,0.13977959751305227,0.1399329384257802,0.00015325744322824926,23242.208004693748,28492.06757107962,8188.875086473986,0.2798658768515604,0.0
627,Galileo IOV-1 PFM ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,84.0,23240,23306,0.0011099999999999999,54.68,846.88,700.0,,1420.0,2011-10-21,12.0,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846,Operational nucleus of the full 30-satellite constellation.,2011,10,21,(0101 PRN E11),1.4660765716752369,29677,29611,59288,29644.0,66,59287.96326405554,29643.98163202777,0.00012369827923305342,50794.44391737874,50812.8,11852.03691405504,141.09567754827427,11852.03691405504,1.466076571675237,33.0,2.020408076588296,2.021407519395545,0.0009996839428727108,23287.300966735307,-18398.60720246229,-23243.436051968933,4.04281503879109,0.0
628,Galileo IOV-2 FM3 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,136.0,23214,23233,0.000321,55.34,844.76,700.0,,1420.0,2012-10-12,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857,Operational nucleus of the full 30-satellite constellation.,2012,10,12,(0103 PRN E19),2.3736477827122884,29604,29585,59189,29594.5,19,59188.996950446795,29594.498475223398,0.00012400875708268763,50667.27104594742,50685.6,19140.96906180236,140.74241957207616,19140.969061802356,2.373647782712288,9.5,2.3738707165719766,2.3740936246897615,0.0002229338619404686,23230.335080054305,1059.2056064393157,-29575.537587656712,4.748187249379523,0.0
629,Galileo IOV-2 FM4 ,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,Non-Polar Inclined,179.0,23217,23227,0.000169,55.3,844.69,700.0,,1420.0,2012-10-12,12.0,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858,Operational nucleus of the full 30-satellite constellation. Partial failure in 2014.,2012,10,12,(0104 PRN E20),3.12413936106985,29598,29588,59186,29593.0,10,59185.999155205616,29592.999577602808,0.00012401818577322663,50663.418981702416,50681.4,25190.97777145759,140.73171939361782,25190.97777145759,3.12413936106985,5.0,3.12414231002824,3.124145258737523,2.9489584319289865e-06,23227.000455547804,29574.98492391466,-1032.4319443874415,6.248290517475046,0.0
