,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,trueAnomadj,flightpath,distanceAt,cartX,cartY
1186,Superbird 7 ,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,143.77,35778,35794,0.00018999999999999998,0.12,1436.1,5000.0,,,2008-08-14,15.0,Mitsubishi Electric Corporation,Japan,Guiana Space Center,Ariane 5 ECA,2008-038A,33274,28 Ku-band transponders to provide internet and television services to Japan East Asia and the Pacific region.,2008,8,14,(Superbird C2),2.509259865592248,42165,42149,84314,42157.0,16,84313.99848186539,42156.999240932695,7.293975805388373e-05,86142.11885016024,86166.0,34401.81229746539,239.28366347266734,34401.81229746539,2.5092598655922473,8.0,2.509372143725001,2.5094844132538143,5.018968826507629,0.00011227813360081043,35792.461668555894,12722.971269860778,-40191.27508422212
1187,Superbird-B2 ,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,162.03,35779,35793,0.000166,0.01,1436.09,4051.0,2160.0,,2000-02-18,10.0,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,2000-012A,26095,23 Ku-band 6 Ka-band; Japan Okinawa; business communications.,2000,2,18,(Superbird 4),2.827956987006412,42164,42150,84314,42157.0,14,84313.9988376782,42156.9994188391,7.293975805388373e-05,86142.11885016024,86165.4,38771.131992476294,239.28366347266734,38771.13199247629,2.827956987006411,7.0,2.8280081930715415,2.8280593950944226,5.656118790188845,5.120606572411463e-05,35792.65679439399,34136.72667002033,-24736.542288395143
1188,Superbird-C ,Japan,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,,GEO,,143.97,35781,35792,0.00013000000000000002,0.01,1436.12,3130.0,2500.0,,1997-07-28,10.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2AS,1997-036A,24880,14 Ku-band; Asia-Pacific region; voice and video communications.,1997,7,28,,2.5127505240962362,42163,42152,84315,42157.5,11,84314.9992824527,42157.49964122635,7.293846042816265e-05,86143.65137810822,86167.2,34450.281913628445,239.28792049474504,34450.281913628445,2.512750524096236,5.5,2.512826983198284,2.5129034382812265,5.025806876562453,7.645910232217746e-05,35790.932356579084,12997.655784634582,-40103.8118260547
1195,Syracuse 3A ,France,France,Defense Ministry,Military,Communications,,GEO,,47.05,35778,35792,0.000166,0.0,1436.06,3725.0,1650.0,5640.0,2005-10-13,12.0,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2005-041B,28885,Military communications; designed to integrate with UK's Skynet and Italy's Sicral.,2005,10,13,(Systeme de Radio Communications Utilisant un Satellite),0.821177413063332,42163,42149,84312,42156.0,14,84311.99883765062,42155.99941882531,7.294235342075716e-05,86139.05382152893,86163.59999999999,11257.895784174823,239.27514950424703,11257.895784174822,0.8211774130633319,7.0,0.8212989302717244,0.8214204543515455,1.642840908703091,0.00012151720857151476,35780.232536922,-3034.4847618246094,42046.643022768716
1196,Syracuse 3B ,France,France,Defense Ministry,Military,Communications,,GEO,,354.83,35772,35801,0.000344,0.03,1436.09,3750.0,1658.0,,2006-08-11,12.0,Alcatel Alenia Space,France/Italy,Guiana Space Center,Ariane 5,2006-033B,29273,Completes Syracuse III system; voice communication and secure data transmission; can be integrated with NATO and German military satellites.,2006,8,11,(Systeme de Radio Communications Utilisant un Satellite),6.19295178485148,42172,42143,84315,42157.5,29,84314.99501274966,42157.49750637483,7.293846042816265e-05,86143.65137810822,86165.4,84906.5328291504,239.28792049474504,84906.53282915038,6.192951784851478,14.5,6.192920776001193,0.0902955453422997,0.1805910906845994,3.1008852095304253e-05,35772.05685949889,41471.92201226622,7571.953781938565
1201,TDRS-10 ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,319.25,35768,35802,0.00040300000000000004,1.64,1436.04,3180.0,1600.0,,2002-12-04,11.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-055A,27566,Tracking and communications with space shuttle other missions.,2002,12,4,(Tracking and Data Relay Satellite TDRS-J),5.571963636991897,42173,42139,84312,42156.0,34,84311.99314451059,42155.996572255295,7.294235342075716e-05,86139.05382152893,86162.4,76388.59147923086,239.27514950424703,76388.59147923086,5.571963636991896,17.0,5.571700494474587,0.7117479953879188,1.4234959907758375,0.00026314252349397,35772.13274708266,6187.161988060968,41699.48536563513
1202,TDRS-11 ,USA,USA,National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center,Government,Communications,,GEO,,189.0,35732,35844,0.00133,7.0,1436.18,3454.0,1600.0,,2013-01-31,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2013-004A,39070,New generation of tracking and commmunication satellites.,2013,1,31,(Tracking and Data Relay Satellite TDRS K),3.2986722862692828,42215,42103,84318,42159.0,112,84317.92561490113,42158.96280745057,7.293456778184279e-05,86148.24901648074,86170.8,45227.83073365239,239.3006917124465,45227.83073365239,3.2986722862692823,56.0,3.2984645013823033,2.9849284543801318,5.9698569087602635,0.00020778506327470906,35843.38295855079,40106.40223720422,-12994.517407584162
1203,TDRS-12 ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,,35780,35785,5.93e-05,6.99,1435.88,3454.0,1600.0,,2014-01-23,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 5,2014-004A,39504,New generation of tracking and commmunication satellites.,2014,1,23,(Tracking and Data Relay Satellite TDRS L),,42156,42151,84307,42153.5,5,84306.99985173235,42153.49992586618,7.294884251136432e-05,86131.3914089968,86152.8,,239.25386502499111,,,2.5,,,,,,,
1204,TDRS-3  ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,84.41,35693,35878,0.0021899999999999997,11.53,1436.06,3180.0,1600.0,1800.0,1988-09-29,10.0,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 26),1988-091B,19548,Backup; still partially operational.,1988,9,29,(Tracking and Data Relay Satellite TDRS-C),1.4732324216084136,42249,42064,84313,42156.5,185,84312.79703579997,42156.39851789999,7.294105571808137e-05,86140.58633130047,86163.59999999999,20197.574700625202,239.27940647583463,20197.574700625202,1.4732324216084136,92.5,1.4754124719417385,1.4775927462202485,2.955185492440497,0.0021800469278248687,35776.7072486696,-41426.19913810682,7812.8242869141
1205,TDRS-5 ,USA,USA,SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,,GEO,,192.86,35773,35796,0.000273,9.4,1436.99,3180.0,1600.0,1800.0,1991-08-02,10.0,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 43),1991-054B,21639,Used by South Pole station.,1991,8,2,(Tracking and Data Relay Satellite TDRS-E),3.366041995396264,42167,42144,84311,42155.5,23,84310.9968628055,42155.49843140275,7.29436511619127e-05,86137.5213208457,86219.4,46145.7843387175,239.27089255790472,46145.78433871751,3.3660419953962646,11.5,3.3659812500766284,2.917264794340806,5.834529588681612,6.074532171300788e-05,35795.7199384518,37983.412518736215,-18285.14503086
1206,TDRS-6 ,USA,USA,NASA/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,,GEO,,188.65,35773,35787,0.000166,8.74,1435.7,3180.0,1600.0,1800.0,1993-01-13,10.0,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 54),1993-003B,22314,Tracking and communications with space shuttle other missions; leased access to C-band by Americom.,1993,1,13,(Tracking and Data Relay Satellite TDRS-F),3.292563633887303,42158,42144,84302,42151.0,14,84301.99883751274,42150.99941875637,7.295533256416498e-05,86123.72922367886,86142.0,45131.226439019505,239.23258117688573,45131.2264390195,3.2925636338873026,7.0,3.2925386718927685,2.9906715952333958,5.9813431904667915,2.496199486497196e-05,35786.91750421183,40245.37376719782,-12530.629952566791
1207,TDRS-7 ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,209.47,35767,35803,0.00042699999999999997,10.6,1436.04,3180.0,1600.0,1800.0,1995-07-13,10.0,TRW Defense and Space Systems Group,USA,Cape Canaveral,Space Shuttle (STS 70),1995-035B,23613,Tracking and communications with space shuttle other missions.,1995,7,13,(Tracking and Data Relay Satellite TDRS-G),3.655941184152522,42174,42138,84312,42156.0,36,84311.99231426096,42155.99615713048,7.294235342075716e-05,86139.05382152893,86162.4,50120.965566654624,239.27514950424703,50120.965566654624,3.6559411841525216,18.0,3.655731191977401,2.6276640683516,5.2553281367032,0.00020999218654653407,35800.67343346389,21780.09583662061,-36093.704767363764
1208,TDRS-8 ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,88.76,35768,35808,0.00047400000000000003,0.9,1436.2,3180.0,1600.0,,2000-06-30,11.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2000-034A,26388,Tracking and communications with space shuttle other missions; not fully functional.,2000,6,30,(Tracking and Data Relay Satellite TDRS-H),1.5491542440701669,42179,42139,84318,42159.0,40,84317.99051210839,42158.99525605419,7.293456778184279e-05,86148.24901648074,86172.0,21240.32939639675,239.3006917124465,21240.32939639675,1.5491542440701667,20.0,1.549628137929488,1.5501020341306406,3.1002040682612813,0.00047389382387070443,35787.57701992501,-42122.89565478432,1744.4030415410398
1209,TDRS-9 ,USA,USA,National Aeronautics and Space Administration (NASA),Government,Communications,,GEO,,297.57,35768,35809,0.00048600000000000005,0.02,1436.11,3180.0,1600.0,,2002-03-08,11.0,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 2A,2002-011A,27389,Tracking and communications with space shuttle other missions. In storage.,2002,3,8,(Tracking and Data Relay Satellite TDRS-I),5.193576255159527,42180,42139,84319,42159.5,41,84318.99003190207,42159.49501595103,7.293327031001196e-05,86149.78158078095,86166.59999999999,71209.97362498053,239.30494883550264,71209.97362498051,5.193576255159527,20.5,5.193145345457336,1.0904709198322808,2.1809418396645617,0.0004309096864089963,35779.02462418764,-24156.83376393041,34552.4317592221
1213,Telkom 1 ,Indonesia,Indonesia,PT Telkomunikasi,Commercial,Communications,,GEO,,108.01,35778,35796,0.000213,0.02,1436.13,2763.0,,4000.0,1999-08-12,15.0,Lockheed Martin Missiles and Space,USA,Guiana Space Center,Ariane 44P,1999-042A,25880,TV broadcasting in Indonesia.,1999,8,12,,1.8851301250790755,42167,42149,84316,42158.0,18,84315.99807865646,42157.99903932823,7.293716284091653e-05,86145.18391514434,86167.8,25845.948096318723,239.2921775420676,25845.948096318723,1.8851301250790753,9.0,1.8853326752869541,1.8855352188187768,3.7710704376375537,0.00020255020554844566,35789.77808584196,-34077.78941355127,-24819.37155956016
