name, sec_per_longdegree, semiminorA, meanmotion, semimajorA, eccentricity
BeijinGalaxy-1, 16.409385273784512, 7062.991434229551, 0.0010636164748856571, 7063.0, 0.00156
BermudaSat-1 , 239.28792049474504, 42157.49843147717, 7.293846042816265e-05, 42157.5, 0.000273
Bird 2, 15.780951089805733, 6881.491989387186, 0.0011059721572306165, 6881.5, 0.0015300000000000001
BisonSat, 16.259761487597924, 7018.354223035483, 0.00107340396925599, 7020.0, 0.0217
BKA 2, 15.762035616573106, 6875.999709133211, 0.0011072993961257077, 6876.0, 0.000291
Brazilsat B-2, 239.28792049474504, 42157.49869240347, 7.293846042816265e-05, 42157.5, 0.00024900000000000004
Brazilsat B-3, 239.28366347266734, 42156.996572336604, 7.293975805388373e-05, 42157.0, 0.00040300000000000004
Brazilsat B-4, 239.28366347266734, 42156.99767535634, 7.293975805388373e-05, 42157.0, 0.000332
BRICSat-P, 15.841186971401946, 6896.85558787481, 0.0011017667142905188, 6899.0, 0.0249
BRITE-CA-1, 16.35365794451732, 7046.7183851776, 0.0010672408936983199, 7047.0, 0.00894
BRITE-PL-1, 16.576945912742605, 7109.501037344323, 0.0010528653837572728, 7111.0, 0.0205
BRITE-PL-2, 16.16431164849372, 6992.490543433005, 0.001079742391725644, 6992.5, 0.00164
BSAT-3A, 239.28366347266734, 42156.999240932695, 7.293975805388373e-05, 42157.0, 0.00018999999999999998
BSAT-3B, 227.54308540605663, 40744.81503209948, 7.670324276739694e-05, 40766.5, 0.0326
BSAT-3C/JCSat 110-R, 239.27940647583463, 42156.49997331372, 7.294105571808137e-05, 42156.5, 3.5600000000000005e-05
Bugsat-1, 16.06731901270985, 6964.460352389121, 0.0010862604088545877, 6964.5, 0.00337
Calipso, 16.4459906606919, 7073.499982328409, 0.0010612490837453154, 7073.5, 7.070000000000001e-05
Canopus-B  , 15.755159137778229, 6873.999709048583, 0.0011077826867577126, 6874.0, 0.000291
Can-X2, 16.15564368275956, 6989.992846920517, 0.0010803217044560419, 6990.0, 0.00143
Can-X3a  , 16.706493968776208, 7147.997481812651, 0.0010447010936323819, 7148.0, 0.00084
Can-X4, 16.264973227993334, 7021.494855086059, 0.0010730600213903069, 7021.5, 0.00121
Can-X5, 16.261498672534874, 7020.496990954415, 0.0010732892995540025, 7020.5, 0.000926
CartoSat 1, 16.153910275595084, 6989.499982116031, 0.0010804376291671798, 6989.5, 7.15e-05
CartoSat 2, 16.205939450260846, 7004.499839388963, 0.0010769688837546764, 7004.5, 0.00021400000000000002
CartoSat 2A, 16.205939450260846, 7004.493557709936, 0.0010769688837546764, 7004.5, 0.0013599999999999999
CartoSat 2B, 16.205939450260846, 7004.490559633869, 0.0010769688837546764, 7004.5, 0.00164
Cassiope, 17.159012990216716, 7253.307659268287, 0.0010171501431868117, 7276.5, 0.0798
CBERS 4, 16.58743728157274, 7113.998242901104, 0.001052199458160571, 7114.0, 0.0007030000000000001
CBNT-1, 16.252813366516758, 7017.99137930505, 0.0010738628523169844, 7018.0, 0.00157
CFESat, 15.885983118556883, 6911.999348958303, 0.0010986598934223713, 6912.0, 0.000434
Chandra X-Ray Observatory, 634.7291860876653, 48753.03600802724, 2.7497227010343816e-05, 80783.0, 0.797
ChinaSat 11, 239.2921775420676, 42157.99957303477, 7.293716284091653e-05, 42158.0, 0.00014199999999999998
ChinaSat 1C, 239.2921775420676, 42157.99903932823, 7.293716284091653e-05, 42158.0, 0.000213
ChinaSat 2C, 239.35177885520565, 42164.99941894936, 7.291900065844739e-05, 42165.0, 0.000166
ChinaSat 6B, 239.2921775420676, 42157.99881398547, 7.293716284091653e-05, 42158.0, 0.00023700000000000001
Chuangxin 1-1, 16.57170105810749, 7109.493652856017, 0.0010531986100126092, 7109.5, 0.00134
Chuangxin 1-2, 16.76788369640568, 7165.493702460424, 0.001040876286831864, 7165.5, 0.00133
Chuangxin 1-3, 16.766128662788105, 7164.99302162954, 0.001040985242984585, 7165.0, 0.0014
Chuangxin 1-4, 16.764373690405808, 7164.483233283472, 0.0010410942181473652, 7164.5, 0.00216
Chuangxin-3, 16.327557519958432, 7039.499129909741, 0.0010689469321182173, 7039.5, 0.0004969999999999999
ChubuSat 1, 15.820526052409503, 6892.981430411662, 0.001103205573703734, 6893.0, 0.00232
Ciel-2, 239.27514950424703, 42155.99989325363, 7.294235342075716e-05, 42156.0, 7.120000000000001e-05
CINEMA-1, 16.219823313100704, 7006.818821690767, 0.0010760470187024986, 7008.5, 0.0219
CLIO, 239.36029373240194, 42165.958722647345, 7.291640667627014e-05, 42166.0, 0.0014
Cloudsat, 16.4459906606919, 7073.499982328409, 0.0010612490837453154, 7073.5, 7.070000000000001e-05
COMS-1, 239.2921775420676, 42157.99981023768, 7.293716284091653e-05, 42158.0, 9.49e-05
COMSATBw-1, 239.28366347266734, 42156.99799558787, 7.293975805388373e-05, 42157.0, 0.000308
COMSATBw-2, 239.2921775420676, 42157.99941885288, 7.293716284091653e-05, 42158.0, 0.000166
Condor E2, 15.744846295171124, 6870.9999272303885, 0.0011085082821860348, 6871.0, 0.000146
Coriolis, 16.894406904935686, 7201.492345340652, 0.0010330811030036416, 7201.5, 0.00146
COSMIC-A, 16.787193107116305, 7170.909635464667, 0.0010396790224891511, 7171.0, 0.00502
COSMIC-B, 16.787193107116305, 7170.93299369057, 0.0010396790224891511, 7171.0, 0.00432
COSMIC-D, 16.463431351212815, 7078.395298370952, 0.0010601248395680017, 7078.5, 0.0054399999999999995
COSMIC-E, 16.787193107116305, 7170.832587642804, 0.0010396790224891511, 7171.0, 0.00683
COSMIC-F, 16.787193107116305, 7170.945335170252, 0.0010396790224891511, 7171.0, 0.00391
Cosmos 2504, 18.709548948264555, 7706.701629101778, 0.0009328547988091509, 7708.5, 0.0216
COSMO-Skymed 1, 16.167779268704823, 6993.49998212626, 0.0010795108115885018, 6993.5, 7.15e-05
COSMO-Skymed 2, 16.167779268704823, 6993.49998212626, 0.0010795108115885018, 6993.5, 7.15e-05
